Dátum,Gép,Kezdő időpont,Záró időpont,Megrendelésszám
2020.07.20.,Vágó-1,06:00,07:12,MEGR009
2020.07.20.,Vágó-1,07:12,12:57,MEGR008
2020.07.20.,Vágó-1,12:57,22:00,MEGR015
2020.07.20.,Vágó-2,06:00,07:12,MEGR009
2020.07.20.,Vágó-2,07:12,12:57,MEGR008
2020.07.20.,Vágó-2,12:57,22:00,MEGR015
2020.07.20.,Vágó-3,06:00,07:04,MEGR009
2020.07.20.,Vágó-3,07:04,12:59,MEGR008
2020.07.20.,Vágó-3,12:59,22:00,MEGR015
2020.07.20.,Vágó-4,06:00,07:04,MEGR009
2020.07.20.,Vágó-4,07:04,12:59,MEGR008
2020.07.20.,Vágó-4,12:59,22:00,MEGR015
2020.07.20.,Vágó-5,06:00,07:04,MEGR009
2020.07.20.,Vágó-5,07:04,12:54,MEGR008
2020.07.20.,Vágó-5,12:54,22:00,MEGR015
2020.07.20.,Vágó-6,06:00,07:04,MEGR009
2020.07.20.,Vágó-6,07:04,12:54,MEGR008
2020.07.20.,Vágó-6,12:54,22:00,MEGR015
2020.07.20.,Hajlító-1,06:08,12:48,MEGR009
2020.07.20.,Hajlító-1,12:48,22:00,MEGR008
2020.07.20.,Hajlító-2,06:08,12:48,MEGR009
2020.07.20.,Hajlító-2,12:48,22:00,MEGR008
2020.07.20.,Hegesztő-1,06:24,13:00,MEGR009
2020.07.20.,Hegesztő-1,13:00,22:00,MEGR008
2020.07.20.,Hegesztő-2,06:24,13:00,MEGR009
2020.07.20.,Hegesztő-2,13:08,22:00,MEGR008
2020.07.20.,Hegesztő-3,06:40,12:44,MEGR009
2020.07.20.,Hegesztő-3,12:58,22:00,MEGR008
2020.07.20.,Tesztelő-1,06:36,13:10,MEGR009
2020.07.20.,Tesztelő-1,13:10,22:00,MEGR008
2020.07.20.,Festő-1,06:41,13:25,MEGR009
2020.07.20.,Festő-1,13:25,22:00,MEGR008
2020.07.20.,Festő-2,06:46,13:30,MEGR009
2020.07.20.,Festő-2,13:35,22:00,MEGR008
2020.07.20.,Festő-3,06:57,13:09,MEGR009
2020.07.20.,Festő-3,13:15,22:00,MEGR008
2020.07.20.,Festő-4,07:02,13:14,MEGR009
2020.07.20.,Festő-4,13:20,22:00,MEGR008
2020.07.20.,Csomagoló-1,07:01,13:40,MEGR009
2020.07.20.,Csomagoló-1,13:40,22:00,MEGR008
2020.07.20.,Csomagoló-2,07:06,13:45,MEGR009
2020.07.20.,Csomagoló-2,13:45,22:00,MEGR008
